                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    144,                0.35934,                0.27547,                0.87993,                0.99266,                0.99326,                0.99205,                0.89614,                0.46482,                0.28233,                0.95871,             0.00022466,             0.00022466,             0.00022466
                    145,                0.39281,                0.28894,                0.90816,                0.99254,                0.99351,                0.99202,                0.91437,                0.44112,                0.25004,                0.93645,             0.00022086,             0.00022086,             0.00022086
                    146,                  0.358,                0.28216,                0.89578,                0.99283,                0.99349,                0.99195,                0.91242,                0.43083,                0.24476,                  0.935,             0.00021705,             0.00021705,             0.00021705
                    147,                0.34735,                0.27836,                0.86468,                0.99351,                0.99349,                0.99187,                0.91251,                0.41316,                0.23788,                0.93057,             0.00021324,             0.00021324,             0.00021324
                    148,                0.35845,                0.27926,                0.87979,                0.99634,                0.99435,                0.99207,                0.91455,                0.43412,                0.24379,                0.94295,             0.00020944,             0.00020944,             0.00020944
                    149,                 0.3637,                0.27109,                0.88892,                0.99604,                0.99418,                0.99215,                0.91869,                0.43081,                 0.2446,                 0.9444,             0.00020563,             0.00020563,             0.00020563
                    150,                0.36228,                0.27739,                0.87096,                0.99712,                0.99444,                0.99207,                 0.9192,                0.42672,                0.24436,                0.93188,             0.00020182,             0.00020182,             0.00020182
                    151,                0.33757,                0.27386,                0.86931,                0.99541,                0.99444,                0.99207,                0.91439,                0.42934,                0.24825,                0.92069,             0.00019802,             0.00019802,             0.00019802
                    152,                 0.3419,                0.27773,                0.88304,                0.99702,                0.99444,                0.99204,                0.91658,                0.41817,                0.24353,                0.91148,             0.00019421,             0.00019421,             0.00019421
                    153,                0.36528,                0.28164,                0.88583,                0.99594,                0.99444,                0.99203,                0.91505,                0.42836,                0.25269,                0.92341,              0.0001904,              0.0001904,              0.0001904
